id,name,description,host_id,host_name,host_since,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,calculated_host_listings_count
25339003,"An Amazing 4Bedroom Home, Central London, Sleeps12","This four bedroom Victorian house sleeps up to 14 guests. There are 2 bathrooms. We are situated in Westminster, zone 2, Central London.The property has four bedrooms with comfy king size, double & single beds. There’s a large living room with 2 single sofa beds, and a double sofa bed. The kitchen seats 12-14. There are lots of restaurants nearby. Perfect for large groups of families and friends. Please ask for any special requirements. We are 3 stops by direct line from Westfield and Paddington<br /><br /><b>The space</b><br />Amenities: <br />- 24/7 guest support<br />- Professionally cleaned<br />- Hotel-quality bed linen and towels<br />- 24/7 check-in as there is a lockbox with the keys<br />- Please enquire if you need to accommodate more than 12 guests as we are able to accommodate up to 14 guests by agreement. Thanks <br /><br />Kitchen:<br />- Fully equipped with:<br />Tea, coffee, oil, herbs, vinegar, salt, pepper ( any request requested) <br />- Oven<br />- Stove<br />- Refr",191329110,Emily,2018-05-24,51.52865,-0.19998,Entire house,Entire home/apt,12,,4.0,9.0,$226.00,2,1125,0,0,23,23,64,2018-06-17,2020-03-01,93.0,1
40259218,Large Double Room - Maida Vale,"I am proud to offer a recently redecorated double bedroom in an amazing flat in the heart of Maida Vale. The room is within a 5 minute walk away from Maida Vale Tube station. There is also Little Venice Canal nearby as well as Regents Park and Paddington Basin. The room is professionally cleaned after each guest and we use high quality beds with good linen and towels.<br /><br /><b>The space</b><br />A well thought out double room. The space is clean and well lit with large windows allowing the light in.<br /><br />The kitchen is well equipped with a hob, oven, microwave, fridge and dishwasher.<br /><br />The shared bathroom is fully equipped with toiletries for your use and the pressure of the shower is very good.<br /><br /><b>Other things to note</b><br />PLEASE NOTE, THAT ALL CHECK-INS AFTER 11PM CHARGES EXTRA 15£",302720259,Mantas,2019-10-16,51.525940000000006,-0.18909,Private room in apartment,Private room,2,,1.0,1.0,$41.00,1,24,30,60,90,365,4,2019-12-16,2020-02-08,80.0,5
20097666,Zone 1 : Spacious single bedroom in Bayswater,"My place is a very spacious room with a single bed in bayswater. It's surrounded by 3 underground stations - Royal Oak (2 minutes walking), Bayswater (5 minutes walking), and Queensway ( 7 minutes walking). Plus, 24 hours buses can take you everywhere in London. Also, it's approximately 15 minutes walking to Notting hills, and Hyde park is just 5 minutes away. It's a lovely area surrounded by nice restaurants and cafes. Opposite to Waitrose and very closed to 3 other supermarket.<br /><br /><b>The space</b><br />You can use bathroom and kitchen in our flat<br /><br /><b>Guest access</b><br />Kitchen and bathroom<br /><br /><b>Other things to note</b><br />I share my apartment with my friend - Luisa. She’s doing her master degree in history of design at RCA. I need to rent out my place for 2 weeks because I need to do my research on the final project in Barcelona. So, I’d prefer a girl in my room. So, it’s easier to share with my flatmate.",39710946,Thanyawan,2015-07-27,51.51743,-0.18702,Private room in apartment,Private room,1,,1.0,1.0,$35.00,4,1125,0,0,0,0,0,,,,1
40868766,Large Smart Room 20 minutes walk to Big Ben,"Dear Guest, <br />One of the major bonuses is  the fact that the flat is located just within 3 minutes walk to the Thames Embankment just opposite the Westminster Palace.<br />The other great thing is that it is newly refurbished and is clean and warm.<br />It has a small fire place. Far from the main road and it's quiet .<br />The kitchen is modern and has a dishwasher and a washing machine.<br />Good pressure shower! There is an extra utility room (third bedroom in fact)  to iron, dry towels, and store your luggage.<br /><br /><b>The space</b><br />The place you are going to stay is in an older building but this building is very characteristic for London. <br />Around the corner you will find: MI5 building, Albert Embankment, London Eye. <br />Tate Britain, Westminster Abbey, Palace of Westminster with the Houses of Parliament and Big Ben are across the bridge. From there it’s an easy walk towards the Trafalgar Square, National Gallery, Soho and Covent Garden",300905210,Nadia,2019-10-08,51.489509999999996,-0.11812,Private room in apartment,Private room,2,,1.0,2.0,$55.00,2,1125,21,51,81,230,4,2019-12-31,2020-03-23,100.0,3
29649371,Large Notting Hill 2BR near Portobello Rd,"Large two bedroom flat in the heart of Notting Hill - spacious bedrooms and bathroom with shower, bathtub and washer dryer. <br /><br />New carpet in both bedrooms, hardwood floors in living and hallway and room controlled heating throughout. <br /><br />Kitchen is fully equipped with fridge, freezer, microwave, toaster, Nespresso machine, Nutribullet blender, cocktail kit and the usual bits and bobs you’d expect. <br /><br />We have a 40” TV with Google Chromecast. WiFi provided however doesn’t reach master bedroom.<br /><br /><b>The space</b><br />Our flat is perfect for exploring London! Westbourne Park tube station is a four minute walk, Ladbrooke Grove nine minute (both Circle and Hammersmith & City lines) or a fifteen minute walk to Notting Hill Gate (Centre, Hammersmith & City, Circle & District lines). It takes about 20 minutes to get to Oxford Circus and 30 minutes to Shoreditch - really well connected to get most places in London. <br /><br />Portobello Rd is one block over f",2165973,Emily & Kirsty,2012-04-18,51.520070000000004,-0.20328,Entire apartment,Entire home/apt,4,,2.0,2.0,$100.00,3,1125,0,0,0,0,15,2018-12-24,2020-01-08,97.0,1
6650370,Quiet flat with private garden in Barons Court,Bright flat in Hammersmith.  1 bedroom with a double bed.  Lovely living and dining room with cozy sofa in front of the fireplace.  Large kitchen and a nice garden if you like to eat in.  Quiet road centrally located.  Great access to the Picadilly and Central/District lines.  Free street parking weekends.<br /><br /><b>The space</b><br />Garden with table and chairs for enjoying summer days.<br /><br /><b>Guest access</b><br />You will get the whole apartment.,3440336,Emily,2012-09-01,51.48863,-0.21495,Entire apartment,Entire home/apt,2,,1.0,1.0,$68.00,2,30,0,0,0,0,45,2015-06-29,2018-11-28,93.0,1
42405264,Superhost's Lux 3B Luxury Flat- 397 5-Star Reviews,Three bedroom flat by an amazing park in London.,28381203,Emrah,2015-02-26,51.56214,-0.23681,Entire apartment,Entire home/apt,8,,3.0,6.0,$150.00,2,1125,30,60,90,365,0,,,,27
13501585,Lovely and bright garden flat,"This beautiful garden flat is 1 minute walk from the Picadilly Line and 10 minutes to Victoria Line. It sits between two amazing trendy areas Stoke Newington and Angel. Between Highbury Barn, Upper Street and Stoke Newington the choices of restaurants are infinite. You’ll love my place because of  the location, the cosiness, the kitchen. My place is good for couples, business travellers, and families (with kids). Two amazing parks are within 10 minutes walk, Highbury fields and Clissold Park.",42097052,Tommaso,2015-08-21,51.556459999999994,-0.10387,Entire apartment,Entire home/apt,6,,3.0,3.0,$110.00,14,1125,0,0,0,0,0,,,,1
36162322,Covent Garden Private Room with Shared Living Room,"Clean and simple private room in centrally located apartment. <br /><br />Shared access to spacious lounge, kitchen and bathroom. Amazing area to stay for the theatre, restaurants and bars, in the heart of the West End!<br /><br />Tips from a local if required.",8033408,Che,2013-08-08,51.51228,-0.12788,Room in serviced apartment,Hotel room,2,,1.0,1.0,$130.00,2,1125,0,0,0,0,1,2019-07-07,2019-07-07,100.0,1
20631005,Double Room with private bathroom,We can host in our large Victorian house a couple with their friends or family as we have 3 double rooms and a single room. <br />You will share your private bathroom and living-room with your friends or family or enjoy on your own!<br /><br /><b>The space</b><br />Our house has been entirely refurbished two years ago and we are located on a quiet street.<br /><br /><b>Guest access</b><br />There are a couple of steps to access the house.,42411592,Pascale,2015-08-24,51.47273,-0.04183,Private room in house,Private room,2,,1.0,1.0,$45.00,2,1125,5,35,65,340,2,2017-11-12,2018-04-07,100.0,2
